========================================================================
GRAVITY-LIKE DISTORTION RESPONSE SWEEP
========================================================================
width=20, height=10, source=(0, 0)
target_ys=[-5, -3, -1, 0, 1, 3, 5]

========================================================================
SWEEP 1: Persistent node COUNT (placed at center, expanding outward)
========================================================================

n_nodes  target_y   free_action   dist_action   action_diff    max_defl   mean_defl  dist_path_y
     12         1       20.4142       10.5430       -9.8712      1.0000      0.4762  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
     12         3       21.2426       10.8185      -10.4242      2.0000      0.4286  [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
     12         5       22.0711       11.2901      -10.7810      3.0000      1.1429  [0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]

========================================================================
SWEEP 2: Persistent node DISTANCE (5 nodes, varying y-offset)
========================================================================

 offset  target_y   free_action   dist_action   action_diff    max_defl   mean_defl  dist_path_y
--------------------------------------------------------------------------------------------------------------
      0         0       20.0000       11.4938       -8.5062      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      1         0       20.0000       11.5692       -8.4308      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      2         0       20.0000       11.8115       -8.1885      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      3         0       20.0000       12.1905       -7.8095      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      4         0       20.0000       12.6239       -7.3761      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      5         0       20.0000       13.1041       -6.8959      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      6         0       20.0000       13.6364       -6.3636      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      7         0       20.0000       14.2428       -5.7572      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      8         0       20.0000       14.9870       -5.0130      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      9         0       20.0000       15.9110       -4.0890      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

========================================================================
SWEEP 3: Persistent node X-POSITION (5 nodes at y=4, varying x)
========================================================================

  x_pos  target_y   free_action   dist_action   action_diff    max_defl   mean_defl  dist_path_y
--------------------------------------------------------------------------------------------------------------
      2         0       20.0000       14.7140       -5.2860      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      4         0       20.0000       13.6296       -6.3704      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      6         0       20.0000       13.0387       -6.9613      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
      8         0       20.0000       12.7239       -7.2761      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     10         0       20.0000       12.6239       -7.3761      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     12         0       20.0000       12.7239       -7.2761      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     14         0       20.0000       13.0387       -6.9613      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     16         0       20.0000       13.6296       -6.3704      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
     18         0       20.0000       14.7140       -5.2860      0.0000      0.0000  [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]

SWEEP COMPLETE
